year	month	day	hour	minute	second	TSG2.SBE21.Salinity	WEATHER.PBWWI.DewPointPort	WEATHER.PBWWI.AirTempPort	WEATHER.PBWWI.WaterTempPort	WEATHER.PBWWI.TrueWindDir	WEATHER.PBWWI.HumidityPort	WEATHER.PBWWI.RelWindSpeed	WEATHER.PBWWI.TrueWindSpeed	WEATHER.PBWWI.LwRadiation	WEATHER.PBWWI.GlobalRadiation	CNAV2.GPGGA.Latitude	CNAV2.GPGGA.Longitude
mean	mean	mean	mean	mean	mean	PSU	°C	°C	°C	deg	%	m/s	m/s	W/m²	W/m²	°	°
2020	01	18	00	00	00		21.50	25.50	27.90	89.00	78.00	1.80	1.80	384.00	-1.00	13.10	-59.63
2020	01	18	00	01	00		21.50	25.50	27.90	71.00	78.00	3.10	3.10	383.00	-1.00	13.10	-59.63
2020	01	18	00	02	00		21.50	25.50	27.90	85.00	78.00	2.30	2.30	383.00	-1.00	13.10	-59.63
2020	01	18	00	03	00		21.60	25.50	27.90	79.00	78.00	2.00	2.00	383.00	-1.00	13.10	-59.63
2020	01	18	00	04	00		21.50	25.50	28.00	67.00	78.00	2.50	2.50	383.00	-1.00	13.10	-59.63
2020	01	18	00	05	00		21.50	25.50	28.00	69.00	78.00	3.20	3.20	384.00	-1.00	13.10	-59.63
2020	01	18	00	06	00		21.50	25.50	28.00	65.00	78.00	3.20	3.20	384.00	-1.00	13.10	-59.63
2020	01	18	00	07	00		21.50	25.50	28.00	72.00	78.00	2.40	2.40	383.00	-1.00	13.10	-59.63
2020	01	18	00	08	00		21.50	25.50	28.00	65.00	78.00	3.20	3.20	383.00	-1.00	13.10	-59.63
2020	01	18	00	09	00		21.50	25.50	28.00	62.00	78.00	3.60	3.60	383.00	-2.00	13.10	-59.63
2020	01	18	00	10	00		21.50	25.50	27.90	63.00	78.00	3.10	3.10	382.00	-2.00	13.10	-59.63
2020	01	18	00	11	00		21.50	25.50	27.90	59.00	78.00	2.40	2.40	383.00	-1.00	13.10	-59.63
2020	01	18	00	12	00		21.50	25.50	27.90	64.00	78.00	2.50	2.50	384.00	-1.00	13.10	-59.63
2020	01	18	00	13	00		21.50	25.50	27.90	61.00	78.00	2.80	2.80	384.00	-1.00	13.10	-59.63
2020	01	18	00	14	00		21.50	25.50	27.90	67.00	78.00	2.90	2.90	383.00	-1.00	13.10	-59.63
2020	01	18	00	15	00		21.50	25.50	27.90	77.00	78.00	2.30	2.30	383.00	-1.00	13.10	-59.63
2020	01	18	00	16	00		21.50	25.50	27.90	71.00	79.00	2.70	2.70	382.00	-1.00	13.10	-59.63
2020	01	18	00	17	00		21.60	25.50	27.90	76.00	79.00	2.20	2.20	382.00	-1.00	13.10	-59.63
2020	01	18	00	18	00		21.60	25.50	27.90	63.00	79.00	2.80	2.80	382.00	-1.00	13.10	-59.63
2020	01	18	00	19	00		21.50	25.40	27.90	81.00	79.00	2.20	2.20	382.00	-1.00	13.10	-59.63
